"ecosystem"	"package"	"version"	"license"	"license_files"	"status"
"cargo"	"icu_locale_core"	"2.3.0"	"Unicode-3.0"	"icu_locale_core_2.3.0__LICENSE"	"included"
"cargo"	"icu_normalizer"	"2.3.0"	"Unicode-3.0"	"icu_normalizer_2.3.0__LICENSE"	"included"
"cargo"	"icu_normalizer_data"	"2.3.0"	"Unicode-3.0"	"icu_normalizer_data_2.3.0__LICENSE"	"included"
"cargo"	"icu_properties"	"2.3.0"	"Unicode-3.0"	"icu_properties_2.3.0__LICENSE"	"included"
"cargo"	"icu_properties_data"	"2.3.0"	"Unicode-3.0"	"icu_properties_data_2.3.0__LICENSE"	"included"
"cargo"	"icu_provider"	"2.3.1"	"Unicode-3.0"	"icu_provider_2.3.1__LICENSE"	"included"
"cargo"	"ident_case"	"1.0.1"	"MIT/Apache-2.0"	"ident_case_1.0.1__LICENSE"	"included"
"cargo"	"idna"	"1.1.0"	"MIT OR Apache-2.0"	"idna_1.1.0__LICENSE-APACHE;idna_1.1.0__LICENSE-MIT"	"included"
"cargo"	"idna_adapter"	"1.2.2"	"Apache-2.0 OR MIT"	"idna_adapter_1.2.2__LICENSE-APACHE;idna_adapter_1.2.2__LICENSE-MIT"	"included"
"cargo"	"indexmap"	"1.9.3"	"Apache-2.0 OR MIT"	"indexmap_1.9.3__LICENSE-APACHE;indexmap_1.9.3__LICENSE-MIT"	"included"
"cargo"	"indexmap"	"2.14.2"	"Apache-2.0 OR MIT"	"indexmap_2.14.2__LICENSE-APACHE;indexmap_2.14.2__LICENSE-MIT"	"included"
"cargo"	"infer"	"0.19.0"	"MIT"	"infer_0.19.0__LICENSE"	"included"
"cargo"	"ipnet"	"2.12.2"	"MIT OR Apache-2.0"	"ipnet_2.12.2__LICENSE-APACHE;ipnet_2.12.2__LICENSE-MIT"	"included"
"cargo"	"itoa"	"1.0.18"	"MIT OR Apache-2.0"	"itoa_1.0.18__LICENSE-APACHE;itoa_1.0.18__LICENSE-MIT"	"included"
"cargo"	"jiff"	"0.2.37"	"Unlicense OR MIT"	"jiff_0.2.37__COPYING;jiff_0.2.37__LICENSE-MIT"	"included"
"cargo"	"jiff-core"	"0.1.1"	"Unlicense OR MIT"	"jiff-core_0.1.1__COPYING;jiff-core_0.1.1__LICENSE-MIT"	"included"
"cargo"	"jiff-tzdb"	"0.1.8"	"Unlicense OR MIT"	"jiff-tzdb_0.1.8__COPYING;jiff-tzdb_0.1.8__LICENSE-MIT"	"included"
"cargo"	"jiff-tzdb-platform"	"0.1.3"	"Unlicense OR MIT"	"jiff-tzdb-platform_0.1.3__COPYING;jiff-tzdb-platform_0.1.3__LICENSE-MIT"	"included"
"cargo"	"json-patch"	"3.0.1"	"MIT/Apache-2.0"	"json-patch_3.0.1__LICENSE-APACHE;json-patch_3.0.1__LICENSE-MIT"	"included"
